feature,frekuensi,sentiment
original get,1,positive
original graceful,1,negative
original highly,1,positive
original hit,1,positive
original idea,3,negative
original ignored,1,positive
original insightful,1,negative
original italian,1,positive
original men,1,positive
original mind,1,positive
original new,1,negative
original nor,2,negative
original not_good,1,negative
original not_particularly,1,negative
original one,1,positive
original premise,1,negative
original release,1,negative
original released,1,negative
original remains,1,positive
original ringu,1,negative
original running,1,positive
original short,1,negative
original some,1,positive
original sure,1,positive
original take,1,positive
original talent,2,positive
original version,1,negative
original version,2,positive
original work,1,positive
original years,1,positive
originality,1,negative
originality,9,positive
originality alone,1,positive
originality humour,1,positive
originality life,1,positive
originality on,1,positive
originality plot,1,positive
originality sorely,1,negative
originality suggesting,1,positive
originality well,1,positive
origins,1,positive
origins nazi,1,positive
orlando,1,positive
orlando jones,1,positive
orleanis,1,positive
orleanis themes,1,positive
orleans,1,positive
orleans story,1,positive
orthodox,1,positive
orthodox jews,1,positive
orwell,1,negative
orwell turning,1,negative
orwellis,1,negative
orwellis dark,1,negative
os,1,positive
os rather,1,positive
oscar,8,negative
oscar,14,positive
oscar caliber,1,negative
oscar caliber,1,positive
oscar category,1,negative
oscar kind,1,negative
oscar next,1,positive
oscar nominated,1,positive
oscar nomination,1,negative
oscar nomination,4,positive
oscar season,1,positive
oscar size,1,positive
oscar sweeping,1,positive
oscar wilde,1,negative
oscar wilde,1,positive
oscar wildeis,1,negative
oscar winners,1,negative
oscar winners,1,positive
oscar winning,1,negative
oscar worthy,2,positive
oscars,1,negative
otar,1,positive
otar iosselianiis,1,positive
other,53,negative
other,43,positive
other actors,2,positive
other all,1,positive
other also,1,negative
other arnie,1,negative
other assets,1,positive
other better,2,negative
other bullock,1,negative
other carmen,1,positive
other cars,1,negative
other characters,1,negative
other childish,1,negative
other cultures,1,positive
other decent,1,negative
other deep,1,negative
other director,1,negative
other employ,1,negative
other end,1,negative
other exploitive,1,negative
other fact,2,negative
other feel,1,positive
other film,1,positive
other filmmakers,1,positive
other films,5,negative
other films,1,positive
other flicks,1,positive
other fling,1,negative
other foul,1,positive
other funny,1,negative
other good,1,negative
other hallmarks,1,positive
other hand,1,negative
other hands,1,positive
other hollywood,1,negative
other hollywood,1,positive
other installments,1,negative
other intensely,1,positive
other interchangeable,1,negative
other issues,1,positive
other john,1,negative
other just,1,positive
other kind,1,negative
other levels,1,positive
other maintains,1,negative
other mildly,1,negative
other money,1,negative
other movies,2,negative
other movies,1,positive
other napoleon,1,positive
other neither,1,positive
other obligations,1,negative
other one,1,negative
other oscar,1,positive
other out,1,negative
other parents,1,negative
other people,1,negative
other recent,1,negative
other recent,2,positive
other rowdy,1,negative
other scriptis,1,positive
other self,1,positive
other seven,1,negative
other shines,1,positive
other side,2,negative
other side,1,positive
other sit,1,positive
other slightly,1,positive
other sluggish,1,negative
other tale,1,positive
other times,2,positive
other trouble,1,positive
other unfaithful,1,negative
other way,1,negative
other willies,1,positive
other words,3,negative
other work,1,negative
other year,1,negative
other year,1,positive
otherness,1,positive
others,3,negative
others,12,positive
others find,1,negative
others genre,2,positive
others may,1,negative
others more,1,positive
others moviemakers,1,positive
others not_film,1,negative
others outside,1,positive
others remind,1,positive
others thanks,1,positive
others year,1,positive
otherwise,9,negative
otherwise,13,positive
otherwise appalling,1,positive
otherwise best,1,positive
otherwise bland,1,positive
otherwise bleak,1,negative
otherwise challenging,1,positive
otherwise comic,1,positive
otherwise could,1,negative
otherwise deserve,1,positive
otherwise drowns,1,negative
otherwise dull,1,positive
otherwise excellent,1,positive
otherwise go,1,positive
otherwise good,1,negative
otherwise good,1,positive
otherwise makes,1,negative
otherwise production,1,positive
otherwise separate,1,positive
otherwise sumptuous,1,negative
otherwise talented,1,negative
otherwise tender,1,positive
otherworldly,1,positive
otherworldly freaky,1,positive
otto,1,positive
otto sallies,1,positive
ou,1,positive
ou got,1,positive
ought,3,negative
ought,1,positive
ought pick,1,negative
ought playing,1,positive
ought whole,1,negative
ourside,1,positive
ourside theatre,1,positive
out,161,negative
out,114,positive
out adult,1,negative
out affected,1,negative
out alice,1,positive
out all,2,positive
out allegory,1,positive
out almost,1,positive
out amateur,1,negative
out amc,1,negative
out amusing,1,positive
out angst,1,positive
out assayas,1,negative
out atlantic,1,negative
out awards,1,negative
out back,1,positive
out bad,1,negative
out ballsy,1,negative
out barbershop,1,positive
out believer,1,positive
out bit,1,positive
out breaking,1,positive
out butt,1,negative
out buñuel,1,positive
out cake,1,positive
out cannon,1,negative
out car,1,negative
out carry,1,positive
out cellular,1,negative
out change,1,positive
out chaplin,1,positive
out character,1,negative
out characters,1,negative
out china,1,positive
out clever,1,negative
out clever,1,positive
out coherent,1,negative
out cold,1,negative
out college,1,negative
out come,1,negative
out comedies,1,negative
out comedy,1,negative
out comedy,2,positive
out comfy,1,negative
out complexity,1,positive
out con,1,negative
out conquer,1,positive
out continue,1,positive
out control,3,negative
out control,1,positive
out conventional,1,negative
out cylinders,1,negative
out deep,1,positive
out delightfully,1,positive
out denzel,1,negative
out despite,1,negative
out dickensian,1,positive
out director,1,negative
out dirty,1,positive
out discarded,1,negative
out discreet,1,negative
out dogged,1,positive
out elaborate,1,negative
out emotional,1,positive
out encounter,1,positive
out engaging,1,positive
out enjoy,1,negative
out enjoying,1,positive
out enough,1,negative
out entertain,1,positive
out eudora,1,positive
out every,1,positive
out everybody,1,negative
out existential,1,positive
out eye,1,positive
out farce,1,positive
out feature,2,negative
out films,1,negative
out fingers,1,negative
out flesh,1,negative
out flicks,1,negative
out folks,1,negative
out formula,1,negative
out gas,1,negative
out gates,1,positive
out getting,1,negative
out go,1,positive
out going,1,negative
out good,1,positive
out goofy,1,negative
out gourd,1,positive
out hibernation,1,negative
out hour,1,negative
out human,1,positive
out humor,1,negative
out idea,1,negative
out ideas,1,negative
out increasingly,1,negative
out inseparable,1,positive
out issues,1,negative
out jet,1,negative
out john,1,positive
out joys,1,positive
out just,1,negative
out kilter,1,negative
out kind,1,positive
out knees,1,negative
out lampoon,1,negative
out last,1,negative
out late,1,positive
out latter,1,negative
out league,1,negative
out left,1,positive
out life,1,negative
out like,3,negative
out like,3,positive
out limited,1,negative
out lobby,1,negative
out looking,1,positive
out loud,1,negative
out loud,3,positive
out make,1,positive
out makes,2,negative
out many,3,negative
out material,1,negative
out material,1,positive
out mediocre,1,negative
out men,1,negative
out midway,1,positive
out might,1,negative
out molehill,1,negative
out monster,1,negative
out more,1,negative
out more,1,positive
out mormon,1,negative
out movies,1,negative
out muddled,1,negative
out must,1,negative
out muttering,1,negative
out narrative,1,positive
out nearly,1,negative
out not_make,1,negative
out not_overcome,1,negative
out not_pretensions,1,positive
out not_ripe,1,negative
out not_satisfied,1,positive
out obvious,1,negative
out offers,1,positive
out okay,1,negative
out older,1,negative
out on,4,negative
out on,3,positive
out one,2,negative
out opportunity,1,negative
out other,1,positive
out pack,1,positive
out particularly,1,negative
out people,1,positive
out perfunctory,1,negative
out pieces,1,positive
out place,1,negative
out plot,1,negative
out pooper,1,negative
out pre,1,negative
out promise,1,negative
out public,1,negative
out queen,1,negative
out reach,1,negative
out realistically,1,positive
out replaced,1,negative
out respectable,1,negative
out rolling,1,positive
out ruin,1,negative
out rules,1,negative
out runteldat,1,negative
out scenes,1,negative
out scrapbook,1,negative
out screaming,2,negative
out seat,1,positive
out serious,1,negative
out several,1,positive
out shape,1,negative
out sight,1,positive
out significantly,1,positive
out sized,1,negative
out slowly,1,positive
out small,1,positive
out smarter,1,positive
out somewhere,1,negative
out spring,1,negative
out square,1,positive
out steam,1,negative
out still,1,positive
out straight,1,positive
out strongly,1,negative
out surrender,1,negative
out tale,1,negative
out talking,1,positive
out tell,1,positive
out theater,2,negative
out theater,1,positive
out theaters,2,positive
out thereis,1,negative
out thereis,1,positive
out threadbare,1,negative
out tinny,1,negative
out ton,1,positive
out tremendous,1,negative
out tuck,1,negative
out typical,1,negative
out unsuspecting,1,positive
out utterly,1,positive
out various,1,negative
out vein,1,positive
out video,1,negative
out viewers,1,positive
out villain,1,positive
out wanes,1,positive
out water,1,negative
out way,1,negative
out way,1,positive
out weeks,1,positive
out welcome,3,negative
out whatever,1,positive
out whether,1,negative
out whois,1,negative
out window,2,negative
out windows,1,negative
out working,1,positive
out world,1,positive
out worst,1,negative
out would,2,negative
out yiddish,1,positive
outage,1,negative
outage screening,1,negative
outbursts,2,negative
outbursts flatulence,1,negative
outbursts violence,1,negative
outcome,1,negative
outcome,2,positive
outcome globetrotters,1,negative
outcome screenplay,1,positive
outcome seesawing,1,positive
outdated,2,negative
outdated clothes,1,negative
outdated wonder,1,negative
outdoes,1,positive
outdoes spectacle,1,positive
outer,3,positive
outer limits,1,positive
outer space,2,positive
outgag,1,positive
outgag young,1,positive
outing,2,negative
outing,2,positive
outing just,1,negative
outing one,1,positive
outing plays,1,negative
outing shows,1,positive
outlet,1,positive
outlet flick,1,positive
outline,1,negative
outline ais,1,negative
outnumber,1,negative
outnumber hits,1,negative
outpaces,1,positive
outpaces contemporaries,1,positive
outrage,2,negative
outrage come,1,negative
outrage way,1,negative
outrageous,1,negative
outrageous,5,positive
outrageous bits,1,positive
outrageous force,1,positive
outrageous gags,1,negative
outrageous ingenious,1,positive
outrageous sexually,1,positive
outrageously,1,negative
outrageously creative,1,negative
outrageousness,1,positive
outre,1,positive
outre aspects,1,positive
outright,1,negative
outright,1,positive
outright bodice,1,negative
outright newness,1,positive
outs,1,negative
outs,1,positive
outs fistfights,1,negative
outs make,1,positive
outshined,1,negative
outshined cool,1,negative
outside,4,negative
outside,4,positive
outside air,1,negative
outside burgeris,1,negative
outside context,1,negative
outside grasp,1,positive
outside group,1,positive
outside japan,1,positive
outside looking,1,positive
outside set,1,negative
outsiders,1,negative
outsiders,2,positive
outsiders alike,1,negative
outsiders deftly,1,positive
outsiders surprised,1,positive
outstanding,5,positive
outstanding feature,1,positive
outstanding originality,1,positive
outstanding performance,1,positive
outstanding soundtrack,1,positive
outstanding thrillers,1,positive
outtakes,3,negative
outtakes most,1,negative
outtakes tacked,1,negative
outtakes theatrically,1,negative
outward,1,negative
outward elements,1,negative
outweigh,1,negative
outweigh positives,1,negative
outweighs,1,negative
outweighs all,1,negative
overachieving,1,negative
overachieving could,1,negative
overacted,1,negative
overacted all,1,negative
overall,9,negative
overall,12,positive
overall cletis,1,positive
overall effect,1,negative
overall effect,1,positive
overall entertaining,2,positive
overall experience,1,positive
overall fabric,1,positive
overall feel,1,negative
overall feeling,1,positive
overall feelings,1,positive
overall film,1,negative
overall halloween,1,negative
overall impact,1,negative
overall overwhelmingly,1,positive
overall picture,1,positive
overall result,1,positive
overall sense,2,negative
overall strangeness,1,positive
overall tomfoolery,1,negative
overall vibe,1,negative
overbearing,1,negative
overbearing,1,positive
overbearing heartfelt,1,positive
overbearing top,1,negative
overblown,1,negative
overblown enterprise,1,negative
overboard,1,negative
overburdened,1,negative
overburdened complicated,1,negative
overcome,5,negative
overcome,6,positive
overcome adversity,1,positive
overcome bad,1,negative
overcome cultural,1,negative
overcome filmis,1,negative
overcome gaps,1,negative
overcome obstacles,1,positive
overcome personal,1,positive
overcome problematic,1,positive
overcome resistance,1,positive
overcome triviality,1,negative
overcome weaknesses,1,positive
overcomes,2,positive
overcomes scriptis,1,positive
overcomes visual,1,positive
overcoming,1,positive
overcoming obstacles,1,positive
overcooked,2,negative
overcooked ham,1,negative
overcooked soufflé,1,negative
overdoing,1,positive
overdone,1,negative
overdue,1,positive
overeager,1,positive
overeager spooky,1,positive
overexposed,1,negative
overexposed,1,positive
overexposed redolent,1,positive
overexposed waste,1,negative
overflowing,1,negative
overflowing septic,1,negative
overflows,1,positive
overflows wisdom,1,positive
overhearing,1,negative
overhearing bunch,1,negative
overinflated,1,negative
overinflated mythology,1,negative
overkill,1,negative
overladen,1,negative
overladen plot,1,negative
overlapping,1,positive
overlapping story,1,positive
overload,1,negative
overload female,1,negative
overlong,4,negative
overlong,1,positive
overlong bombastic,1,positive
overlong documentary,1,negative
overlong infomercial,1,negative
overlong soap,1,negative
overlong well,1,negative
overlook,1,positive
overlook goofily,1,positive
overly,8,negative
overly,2,positive
overly comfortable,1,positive
overly convenient,1,negative
overly familiar,3,negative
overly familiar,1,positive
overly long,1,negative
overly melodramatic,1,negative
overly old,1,negative
overly sillified,1,negative
overmanipulative,1,positive
overmanipulative hollywood,1,positive
overnight,1,positive
overnight robbed,1,positive
overplayed,1,negative
overplayed exaggerated,1,negative
overpowered,1,negative
overpowered fiction,1,negative
overproduced,2,negative
overproduced inadequately,1,negative
overproduced piece,1,negative
overrides,1,negative
overrides little,1,negative
overripe,1,negative
overripe episode,1,negative
overrun,3,positive
overrun corrupt,1,positive
overrun modern,1,positive
overrun movies,1,positive
oversexed,1,negative
oversexed times,1,negative
overshadows,1,positive
overshadows everything,1,positive
oversimplification,1,negative
oversimplification superficiality,1,negative
oversized,1,positive
oversized picture,1,positive
overstated,1,negative
overstated effect,1,negative
overstating,1,positive
overstating spider,1,positive
overstays,1,negative
overstays natural,1,negative
overstimulated,1,negative
overstimulated minds,1,negative
overstylized,1,negative
overstylized puréed,1,negative
overtake,1,positive
overtake comedy,1,positive
overtly,1,negative
overtly,1,positive
overtly determined,1,positive
overtly silly,1,negative
overture,1,positive
overture pathos,1,positive
overuse,1,positive
overuse special,1,positive
overused,1,negative
overused,1,positive
overused cocktail,1,negative
overused concept,1,positive
overview,2,positive
overview ancient,1,positive
overview bizarre,1,positive
overweight,1,negative
overweight out,1,negative
overwhelm,1,negative
overwhelm left,1,negative
overwhelmed,1,negative
overwhelmed,1,positive
overwhelmed hopeful,1,positive
overwhelmed lack,1,negative
overwhelming,1,negative
overwhelming,3,positive
overwhelming creepiness,1,positive
overwhelming pleasure,1,positive
overwhelming sadness,1,positive
overwhelming waste,1,negative
overwhelmingly,1,positive
overwhelmingly positive,1,positive
overworked,1,negative
overworked elements,1,negative
overwritten,2,negative
overwritten surfeit,1,negative
overwritten tons,1,negative
overwrought,6,negative
overwrought,2,positive
overwrought bit,1,negative
overwrought comedy,1,negative
overwrought crudely,1,negative
overwrought deeply,1,negative
overwrought ending,1,positive
overwrought making,1,negative
overwrought melodramatic,1,negative
overwrought would,1,positive
owe,1,negative
owe favors,1,negative
owed,1,negative
owed benigni,1,negative
owen,1,negative
owen wilson,1,negative
owes,2,negative
owes,1,positive
owes enormous,1,positive
owes genesis,1,negative
owes more,1,negative
ownership,1,positive
ownership redefinition,1,positive
ozpetek,1,negative
ozpetek,2,positive
ozpetek avoids,1,positive
ozpetek falls,1,positive
ozpetek offers,1,negative
ozpetekis,1,positive
ozpetekis effort,1,positive
pa,1,negative
pa,1,positive
pa entirely,1,negative
pa would,1,positive
pablum,1,positive
pablum allenis,1,positive
pabulum,1,negative
pabulum plays,1,negative
pace,5,negative
pace,11,positive
pace actually,1,positive
pace collision,1,positive
pace good,1,positive
pace lack,1,negative
pace master,1,positive
pace obviously,1,positive
pace occasionally,1,positive
pace proud,1,positive
pace really,1,negative
pace rip,1,positive
pace rises,1,positive
pace serene,1,positive
pace turns,1,negative
paced,5,negative
paced,9,positive
paced almost,1,positive
paced contemporary,1,positive
paced could,1,negative
paced crime,1,negative
paced family,1,positive
paced insane,1,positive
paced parable,1,negative
paced satisfying,1,positive
paced soap,1,negative
paced speed,1,negative
paced suspenseful,1,positive
paced ultimately,1,positive
paced wonderfully,1,positive
pacing,12,negative
pacing,4,positive
pacing deadly,1,negative
pacing disconcertingly,1,negative
pacing endless,1,negative
pacing final,1,negative
pacing lack,2,negative
pacing main,1,positive
pacing make,1,positive
pacing not_settles,1,negative
pacing often,1,negative
pacing typical,1,negative
pacing writing,1,positive
pacino,4,positive
pacino best,1,positive
pacino gives,1,positive
pacino williams,2,positive
pacinois,1,positive
pacinois performance,1,positive
pack,4,negative
pack,5,positive
pack dogs,1,negative
pack dynamite,1,negative
pack enough,1,positive
pack even,1,positive
pack knitting,1,negative
pack paint,1,positive
pack powerful,1,positive
pack raw,1,negative
pack some,1,positive
package,1,negative
package,2,positive
package certainly,1,positive
package fascinating,1,negative
package full,1,positive
packages,1,positive
packed,2,negative
packed,7,positive
packed adventure,1,positive
packed chiller,1,negative
packed espnis,1,positive
packed experience,1,positive
packed film,1,positive
packed inventive,1,positive
packed just,1,positive
packed moments,1,positive
packed subplots,1,negative
pact,1,negative
pact burn,1,negative
pad,1,positive
pad duly,1,positive
padded,2,negative
padded,1,positive
padded allenis,1,negative
padded incident,1,positive
padding,2,negative
padding unashamedly,1,negative
paddle,1,negative
paddle mediocre,1,negative
padre,1,negative
padre,1,positive
padre amaro,1,negative
padre amaro,1,positive
paean,1,positive
paean time,1,positive
paeans,1,negative
paeans empowerment,1,negative
page,1,negative
page,2,positive
page iles,1,negative
page memorable,1,positive
page turning,1,positive
pageant,1,negative
pageant not_know,1,negative
pageantry,1,positive
pageantry mesmerizing,1,positive
pageants,1,positive
pageants commercialism,1,positive
pages,1,positive
pages memorable,1,positive
paid,5,negative
paid,4,positive
paid enough,1,negative
paid full,3,positive
paid make,1,negative
paid matinee,1,negative
paid more,1,negative
paid see,1,negative
pain,3,negative
pain,6,positive
pain dead,1,positive
pain eccentricities,1,positive
pain feel,1,negative
pain gradually,1,positive
pain loneliness,1,positive
pain struggle,1,positive
pained,1,negative
pained depraved,1,negative
painful,8,negative
painful,7,positive
painful elegy,1,positive
painful grey,1,positive
painful healing,1,positive
painful horrifying,1,positive
painful improbability,1,negative
painful lie,1,positive
painful nuance,1,positive
painful obnoxious,1,negative
painful refreshing,1,positive
painful ride,1,negative
painful watch,3,negative
painfully,12,negative
painfully,2,positive
painfully awful,1,negative
painfully bad,1,negative
painfully brought,1,positive
painfully execution,1,negative
painfully flat,1,negative
painfully foolish,1,negative
painfully formulaic,1,negative
painfully not_bad,1,negative
painfully padded,1,negative
painfully redundant,1,negative
painfully slow,2,negative
painfully true,1,positive
painfully unfunny,1,negative
painkillers,1,negative
painless,1,negative
painless time,1,negative
pains,1,negative
pains death,1,negative
painstaking,1,positive
painstaking process,1,positive
paint,3,negative
paint,2,positive
paint dry,1,negative
paint fights,1,negative
paint number,2,positive
paint numbers,1,negative
painted,2,positive
painted on,1,positive
painted rembrandt,1,positive
painterly,2,positive
painterly literary,1,positive
painting,2,positive
painting unabashedly,1,positive
paintings,2,positive
paintings process,1,positive
paintings vividly,1,positive
paints,1,negative
paints,4,positive
paints absurdly,1,negative
paints culture,1,positive
paints grand,1,positive
paints picture,1,positive
paints specifically,1,positive
pair,3,negative
pair,5,positive
pair fascinating,1,positive
pair really,1,negative
pair scenes,1,positive
pair spy,1,positive
pair squabbling,1,negative
pair susan,1,negative
pairing,3,negative
pairing clayburgh,1,negative
pairing sound,1,negative
pairing teen,1,negative
palatable,1,positive
palatable presentation,1,positive
palate,1,negative
palate right,1,negative
pale,4,negative
pale,2,positive
pale dark,1,positive
pale imitation,1,negative
pale mr,1,positive
pale script,1,negative
pale successor,1,negative
pale xerox,1,negative
palestinian,1,negative
palestinian,2,positive
palestinian conflict,1,positive
palestinian israeli,1,positive
palestinian side,1,negative
palette,2,positive
palette astounding,1,positive
palette lots,1,positive
pallid,1,negative
pallid horror,1,negative
palm,1,negative
palm screen,1,negative
palma,2,negative
palma,2,positive
palma makes,1,positive
palma pastiche,1,negative
palma pulpy,1,positive
palma spent,1,negative
palmais,1,negative
palmais addiction,1,negative
palmed,1,positive
palmed fun,1,positive
palpable,3,positive
palpable sense,2,positive
paltrow,1,negative
paltrow employs,1,negative
pamelais,1,negative
pamelais emotional,1,negative
pan,2,positive
pan american,1,positive
pan nalinis,1,positive
panache,1,negative
panache,3,positive
panache comic,1,negative
panache compelling,1,positive
panache material,1,positive
pandemonium,1,negative
pander,1,positive
pander basest,1,positive
pandering,2,positive
pandering fans,1,positive
pandorais,1,negative
pandorais box,1,negative
panic,1,negative
panic,1,positive
panic room,1,negative
panic room,1,positive
panky,1,negative
panky film,1,negative
panorama,1,negative
panorama roiling,1,negative
panoramic,1,negative
panoramic,2,positive
panoramic shots,1,positive
panoramic sweep,1,negative
pantheon,2,negative
pantheon,2,positive
pantheon best,1,positive
pantheon great,1,negative
pantheon wreckage,1,negative
pants,2,negative
pants,3,positive
pants augmented,1,positive
pants big,1,negative
pants laughs,1,negative
pants off,1,positive
pap,2,negative
pap invested,1,negative
paper,9,negative
paper,2,positive
paper bag,1,negative
paper kid,1,negative
paper skeleton,1,positive
paper special,1,negative
paper thin,6,negative
paperbacks,1,negative
paperbacks titles,1,negative
papin,2,positive
papin sister,1,positive
papin sisters,1,positive
par,2,negative
par,2,positive
par course,1,negative
par first,1,positive
par more,1,negative
par slickest,1,positive
parable,1,negative
parable,5,positive
parable also,1,positive
parable fairly,1,positive
parable loves,1,positive
parable openness,1,positive
parable renewal,1,negative
parables,1,negative
parables not_actual,1,negative
parachutes,1,negative
parachutes down,1,negative
parade,2,negative
parade,2,positive
parade almost,1,negative
parade coming,1,negative
parade human,1,positive
parade predecessors,1,positive
paradigm,1,negative
paradigm rarely,1,negative
paradiso,1,negative
paradiso,3,positive
paradiso prefer,1,negative
paradiso stands,1,positive
paradiso tale,1,positive
paradiso whether,1,positive
paradisois,1,negative
paradisois rusted,1,negative
paradoxically,1,positive
paradoxically illuminated,1,positive
parallel,1,negative
parallel defiant,1,negative
paramount,1,negative
paramount imprint,1,negative
paranoia,1,negative
paranoia,2,positive
paranoia filmis,1,positive
paranoid,1,negative
paranoid,1,positive
paranoid claustrophobia,1,positive
paranoid unlikable,1,negative
paranormal,1,negative
paranormal romance,1,negative
paraphrase,1,negative
paraphrase line,1,negative
parapsychological,1,positive
parapsychological phenomena,1,positive
pardon,1,negative
pardon pun,1,negative
pared,1,negative
pared down,1,negative
parent,1,negative
parent,4,positive
parent child,2,positive
parent enjoys,1,negative
parent teen,1,positive
parent vs,1,positive
parental,1,negative
parental,1,positive
parental failings,1,positive
parental units,1,negative
parents,7,negative
parents,14,positive
parents amused,1,positive
parents anguish,1,positive
parents away,1,positive
parents beware,1,negative
parents bring,1,positive
parents coma,1,positive
parents escort,1,positive
parents estranged,1,positive
parents few,1,positive
parents hard,1,negative
parents love,1,positive
parents manages,1,positive
parents matter,1,negative
parents may,1,positive
parents particularly,1,positive
parents seeking,1,positive
parents turbulent,1,positive
parents wise,1,negative
parents would,1,negative
paris,1,negative
park,3,negative
park,4,positive
park come,1,positive
park drive,1,positive
park founding,1,positive
park strangely,1,negative
park well,1,positive
park would,1,negative
parker,5,negative
parker,3,positive
parker co,1,positive
parker displays,1,positive
parker exposes,1,negative
parker help,1,positive
parker not_sustain,1,negative
parker sandler,1,negative
parker seems,1,negative
parker updates,1,negative
parkeris,1,negative
parkeris,2,positive
parkeris attempts,1,negative
parkeris bartleby,1,positive
parkeris creative,1,positive
parking,2,negative
parking lot,1,negative
parking lots,1,negative
parkis,1,positive
parlance,1,negative
parlance ms,1,negative
parlor,1,positive
parlor game,1,positive
parmentier,1,positive
parochial,1,negative
parochial,1,positive
parochial accessible,1,negative
parochial melodrama,1,positive
parody,6,negative
parody,3,positive
parody blaxploitation,1,positive
parody genre,1,negative
parody gross,1,negative
parody haynes,1,positive
parody plays,1,negative
parody pulp,1,positive
parody vh,1,negative
parris,1,positive
parris performance,1,positive
parrot,1,positive
parrot replaced,1,positive
parrots,1,negative
parrots raised,1,negative
parsing,1,negative
parsing barn,1,negative
part,9,negative
part,32,positive
part biography,1,positive
part charm,1,positive
part consciously,1,negative
part credible,1,positive
part delicate,1,positive
part droll,1,positive
part elusive,1,positive
part entertainment,1,positive
part extremely,1,positive
part film,1,negative
part film,1,positive
part filmis,1,positive
part fun,2,positive
part gangs,1,positive
part good,1,positive
part grand,1,positive
part history,1,positive
part human,1,positive
part interesting,1,positive
part makes,2,positive
part making,1,positive
part most,1,positive
part movie,2,negative
part movie,2,positive
part mr,1,positive
part nothingis,1,negative
part parlor,1,positive
part psychological,1,positive
part qatsi,1,positive
part recipe,1,positive
part romance,1,positive
part somethingis,1,negative
part targeted,1,positive
part terrific,1,positive
part thanks,1,positive
part theater,1,positive
part us,1,positive
part useless,1,negative
part weight,1,negative
part wildeis,1,positive
part works,1,positive
part worthy,1,positive
participants,1,negative
participants,2,positive
participants dogtown,1,positive
participants relationship,1,positive
participants think,1,negative
participate,1,negative
participate ill,1,negative
participation,1,negative
participation would,1,negative
participatory,1,positive
participatory spectator,1,positive
particular,7,negative
particular,3,positive
particular anciently,1,negative
particular area,1,negative
particular brought,1,negative
particular film,1,negative
particular interest,1,negative
particular new,1,positive
particular talents,1,negative
particular theatrical,1,positive
particular value,1,negative
particularly,7,negative
particularly,10,positive
particularly amateurish,1,negative
particularly balk,1,positive
particularly dark,1,positive
particularly fateful,1,positive
particularly impressive,1,positive
particularly jfk,1,positive
particularly joyless,1,negative
particularly memorable,1,negative
particularly need,1,positive
particularly nightmarish,1,positive
particularly penchant,1,negative
particularly sand,1,negative
particularly slanted,1,negative
particularly tenth,1,positive
particularly vexing,1,negative
particularly welcome,1,positive
particularly ya,1,positive
parties,1,negative
partisans,1,positive
partisans sabotage,1,positive
partly,2,negative
partly,2,positive
partly canada,1,positive
partly closed,1,negative
partly perspective,1,positive
partly schmaltzy,1,negative
partly shallow,1,negative
partner,2,positive
partner laurence,1,positive
partner yong,1,positive
partners,1,negative
partners,1,positive
partners functions,1,positive
partnership,1,negative
partnership spy,1,negative
partnerships,1,positive
partnerships among,1,positive
partnerships general,1,positive
parton,1,negative
parts,3,negative
parts,3,positive
parts film,1,negative
parts holofceneris,1,positive
parts kinda,1,negative
parts seem,1,positive
parts signs,1,positive
parts todayis,1,negative
party,10,negative
party,3,positive
party clown,1,negative
party favors,1,negative
party hearty,1,negative
party political,1,negative
party school,1,negative
party tricks,1,negative
party watching,1,negative
party worth,1,positive
partying,1,negative
partying lives,1,negative
pasach,1,positive
pasach ke,1,positive
pascale,1,negative
pascale baillyis,1,negative
pasolini,1,negative
pasolini film,1,negative
pass,9,negative
pass,1,positive
pass auto,1,negative
pass litmus,1,negative
pass little,1,negative
pass mike,1,negative
pass off,1,negative
pass stinker,1,negative
pass thirteen,1,negative
pass up,1,positive
pass without,1,negative
passable,2,negative
passable date,1,negative
passable performances,1,negative
passably,1,negative
passably real,1,negative
passages,2,negative
passages,1,positive
passages apparently,1,negative
passages sensitive,1,negative
passages surprising,1,positive
passe,1,negative
passe chopsocky,1,negative
passed,1,negative
passed,1,positive
passed long,1,negative
passed on,1,positive
passer,2,positive
passer all,1,positive
passer wears,1,positive
passes,1,negative
passes,2,positive
passes humor,1,positive
passes sex,1,positive
passes time,1,negative
passing,2,negative
passing,1,positive
passing grade,1,negative
passing mention,1,negative
passing twinkle,1,positive
passion,8,negative
passion,14,positive
passion attitude,1,positive
passion cinema,1,positive
passion creativity,1,positive
passion detail,1,negative
passion energy,1,positive
passion filmis,1,positive
passion genius,1,negative
passion governmental,1,positive
passion grief,1,negative
passion life,1,negative
passion melodrama,1,positive
passion members,1,positive
passion politics,1,negative
passion precious,1,negative
passion pretence,1,positive
passion region,1,positive
passion sappy,1,negative
passion spells,1,positive
passion words,1,positive
passionate,1,negative
passionate,6,positive
passionate enthusiasms,1,positive
passionate heart,1,positive
passionate irrational,1,positive
passionate somewhat,1,positive
passionate times,1,positive
passionate truthful,1,negative
passionate tumultuous,1,positive
passionately,1,positive
passionately inquisitive,1,positive
passions,4,positive
passions jealousy,1,positive
passions love,1,positive
passions obsessions,1,positive
passions sometimes,1,positive
passive,1,positive
passive aggressive,1,positive
past,16,negative
past,12,positive
past childis,1,negative
past dead,2,negative
past dead,1,positive
past decade,1,negative
past even,1,negative
past even,1,positive
past forever,1,positive
past longer,1,negative
past love,1,negative
past minutes,1,negative
past prime,2,negative
past really,1,positive
past relies,1,negative
